jméno,pravda,nepravda,zavádějící,neověřitelné,míra nepravdivosti
Petr Gazdík,25,2,6,5,0.05263157894736842
Petr Hannig,7,3,2,2,0.21428571428571427
Petr Holeček,0,0,0,0,0.0
Petr Kotáb,2,1,1,1,0.2
Petr Mach,38,8,10,3,0.13559322033898305
Petr Mlsna,2,0,1,2,0.0
Petr Měsíc,0,0,0,2,0.0
Petr Navrátil,6,3,1,2,0.25
Petr Nečas,121,18,9,24,0.10465116279069768
Petr Náhlík,4,0,3,2,0.0
Petr Robejšek,0,0,0,0,0.0
Petr Skokan,0,0,1,1,0.0
Petr Tupec,5,2,0,0,0.2857142857142857
Petr Vaněk,2,0,0,1,0.0
Petr Vokřál,3,0,0,0,0.0
Petr Šilar,5,1,0,2,0.125
Petr Šimůnek,3,2,0,0,0.4
Petr Šindelář,2,0,1,0,0.0
Petr Štěpánek,5,0,0,2,0.0
Přemysl Sobotka,26,5,5,6,0.11904761904761904
Radek John,27,4,3,9,0.09302325581395349
Radim Fiala,2,2,1,0,0.4
Radim Špaček,4,0,0,0,0.0
Radka Maxová,3,1,1,0,0.2
Raduan Nwelati,3,1,0,1,0.2
Richard Falbr,6,2,0,2,0.2
Robert Dušek,0,0,0,0,0.0
Robert Fico,13,1,0,1,0.06666666666666667
Robert Pelikán,33,1,3,6,0.023255813953488372
Roman Celý,2,5,1,1,0.5555555555555556
Roman Línek,3,2,0,0,0.4
Roman Onderka,2,2,2,3,0.2222222222222222
Roman Sklenák,0,0,0,0,0.0
Rostislav Senjuk,9,1,1,1,0.08333333333333333
Rostislav Vyzula,3,0,2,1,0.0
Rudolf Cogan,4,1,0,1,0.16666666666666666
Rudolf Vyčichla,0,0,1,0,0.0
Soňa Marková,13,4,0,3,0.2
Stanislav Grospič,0,0,0,0,0.0
Stanislav Gross,0,0,0,0,0.0
Stanislav Huml,1,0,0,0,0.0
Stanislav Juránek,3,1,1,1,0.16666666666666666
Stanislav Mackovík,7,2,5,3,0.11764705882352941
Stanislav Mišák,2,3,0,1,0.5
Stanislav Polčák,29,3,0,3,0.08571428571428572
Svatomír Mlčoch,6,3,2,0,0.2727272727272727
Svatopluk Němeček,16,2,3,1,0.09090909090909091
Tereza Bernardová,4,1,2,2,0.1111111111111111
Tomio Okamura,102,62,46,26,0.2627118644067797
Tomáš Chalupa,9,0,2,3,0.0
Tomáš Hudeček,14,4,2,3,0.17391304347826086
Tomáš Jirsa,8,1,1,4,0.07142857142857142
Tomáš Kladívko,1,2,0,1,0.5
Tomáš Macura,2,0,1,3,0.0
Tomáš Podivínský,0,0,0,0,0.0
Tomáš Sýkora,1,0,0,0,0.0
Tomáš Vandas,2,2,2,0,0.3333333333333333
Táňa Fischerová,18,1,2,3,0.041666666666666664
Uprchlická krize,0,0,0,0,0.0
Veronika Vrecionová,0,0,0,0,0.0
Vladimir Putin,11,5,7,6,0.1724137931034483
Vladimír Bärtl,0,0,1,0,0.0
Vladimír Dlouhý,17,0,1,2,0.0
Vladimír Dryml,10,1,2,1,0.07142857142857142
Vladimír Duchek,3,1,1,0,0.2
Vladimír Franz,16,3,2,4,0.12
Vladimír Remek,0,0,0,0,0.0
Vladimír Stehlík,2,2,0,6,0.2
Vladimír Špidla,1,0,0,0,0.0
Vladimíra Lesenská,0,1,0,0,1.0
Vladislav Raška,5,1,0,2,0.125
Vlasta Bohdalová,1,0,0,0,0.0
Vlastislav Navrátil,1,1,0,0,0.5
Vojtěch Adam,2,0,0,0,0.0
Vojtěch Filip,80,34,26,15,0.21935483870967742
Vojtěch Mynář,0,0,0,0,0.0
Vratislav Mynář,11,2,0,2,0.13333333333333333
Václav Hampl,2,1,0,0,0.3333333333333333
Václav Klaus,0,0,0,0,0.0
Václav Klučka,0,0,0,0,0.0
Václav Láska,4,0,0,1,0.0
Václav Mencl,2,0,1,0,0.0
Václav Moravec,24,0,1,1,0.0
Václav Neubauer,0,0,0,0,0.0
Václav Srb,0,0,0,0,0.0
Václav Votava,0,0,0,0,0.0
Václav Zemek,0,0,0,0,0.0
Václav Štekl,1,0,0,1,0.0
Vít Bárta,22,12,7,12,0.22641509433962265
Vít Jedlička,2,3,3,1,0.3333333333333333
Vít Kaňkovský,4,0,1,0,0.0
Vít Slováček,2,0,0,1,0.0
Věra Flasarová,0,0,0,0,0.0
Zakaría Nemrah,0,1,0,0,1.0
Zbyněk Pražák,4,1,0,0,0.2
Zbyněk Stanjura,57,5,2,4,0.07352941176470588
Zdeněk Bezecný,7,1,1,0,0.1111111111111111
Zdeněk Dvořák,2,1,0,0,0.3333333333333333
Zdeněk Geist,3,0,0,0,0.0
Zdeněk Kopecký,4,1,0,1,0.16666666666666666
Zdeněk Ondráček,5,0,1,2,0.0
Zdeněk Papoušek,2,0,1,1,0.0
Zdeněk Schwarz,1,2,1,2,0.3333333333333333
Zdeněk Soukup,3,4,1,3,0.36363636363636365
Zdeněk Škromach,40,10,10,5,0.15384615384615385
Zdeněk Štengl,0,0,0,0,0.0
Zdeněk Žák,17,5,5,13,0.125
Zdeňka Hamousová,1,0,0,1,0.0
Zuzana Baudyšová,2,2,0,1,0.4
Zuzana Brzobohatá,0,0,0,0,0.0
Zuzana Kocumová,6,0,1,3,0.0
Zuzana Roithová,43,6,6,18,0.0821917808219178
Štefan Füle,9,0,0,1,0.0
